,user_id,recs
0,1340,"[951412, 849843, 874736, 821083, 861272]"
1,588,"[1070015, 951590, 1050851, 1053690, 933835]"
2,2070,"[1085604, 1055863, 1080414, 878302, 949616]"
3,1602,"[1058997, 1070820, 1095275, 860776, 862349]"
4,447,"[1057260, 937626, 926905, 999971, 849843]"
5,117,"[1056651, 862349, 1089392, 901062, 854852]"
6,1762,"[983584, 1016800, 6534178, 879755, 844165]"
7,1550,"[1113588, 999971, 1033615, 985119, 7167218]"
8,2475,"[1070820, 5569471, 971922, 862349, 921744]"
9,762,"[1091365, 986912, 1095275, 1005186, 861445]"
10,1453,"[1005186, 1110572, 986912, 879755, 1138189]"
11,2322,"[1126899, 6534166, 1077975, 909714, 6533889]"
12,1257,"[1126899, 1137688, 1022254, 1026118, 1116821]"
13,1794,"[1110572, 861272, 5569230, 1106301, 1070015]"
14,1328,"[844165, 951590, 1132771, 1132770, 6533765]"
15,1061,"[832678, 1106523, 8090537, 951590, 900491]"
16,1566,"[976199, 6534178, 1022254, 995965, 1003600]"
17,1179,"[962229, 1056509, 971922, 908531, 1039156]"
18,2489,"[12263788, 1022003, 965842, 1137688, 5592931]"
19,2184,"[1070015, 8090521, 1106523, 983584, 1005186]"
20,2228,"[1037840, 868764, 1106523, 8090532, 1015247]"
21,1277,"[1085604, 8090521, 986912, 1106523, 1133018]"
22,1804,"[937626, 916993, 5569374, 12263788, 1127831]"
23,1735,"[8090537, 951590, 1075368, 824005, 1056651]"
24,1821,"[1082212, 983584, 8090521, 1106523, 933835]"
25,1907,"[1057260, 1075368, 819978, 999971, 1071939]"
26,1393,"[1058997, 1051516, 861272, 1023720, 1127179]"
27,844,"[862349, 1026118, 1028816, 1127831, 1051516]"
28,1724,"[1126899, 916993, 5585635, 1058997, 5590287]"
29,1854,"[1077975, 861272, 6534166, 883404, 1137688]"
30,2285,"[1058997, 824005, 909714, 857503, 893501]"
31,1944,"[1070820, 1056651, 1137688, 908846, 1022254]"
32,106,"[1127179, 8090521, 6534178, 1107553, 1028816]"
33,534,"[1113588, 927191, 6533765, 1095275, 839849]"
34,1366,"[1119051, 849843, 927191, 5585635, 909894]"
35,401,"[895540, 986912, 993638, 985119, 1124729]"
36,894,"[1051516, 860776, 1119051, 825541, 1137688]"
37,397,"[1126899, 1058997, 873627, 1132771, 8090532]"
38,853,"[821083, 6534178, 1126899, 1026118, 1058997]"
39,538,"[1082212, 1070820, 870780, 861272, 903325]"
40,663,"[1085604, 9420312, 908531, 866227, 1037894]"
41,1398,"[1107553, 916993, 5569471, 860975, 1058997]"
42,1570,"[5569374, 894236, 908531, 1057260, 1041259]"
43,1305,"[1110572, 1085604, 1037894, 879755, 983584]"
44,1994,"[1091365, 1126899, 1039156, 979746, 1053690]"
45,882,"[8090521, 1053690, 1029743, 1056509, 8160319]"
46,1795,"[862349, 1070820, 949616, 1085604, 861445]"
47,1491,"[1003600, 901062, 986947, 820165, 1055863]"
48,2241,"[849843, 1029624, 1132763, 1053690, 923746]"
49,2015,"[940947, 1048462, 896085, 9527290, 883932]"
50,696,"[1126899, 1057260, 1058997, 901062, 971922]"
51,1412,"[885290, 9677202, 832678, 856772, 1077975]"
52,981,"[1082212, 940947, 1110572, 995242, 866211]"
53,1651,"[1041259, 5585727, 5584007, 1117514, 900802]"
54,292,"[1015247, 8090521, 9420312, 1076875, 986912]"
55,1203,"[1070015, 951590, 1106523, 1042438, 870780]"
56,2194,"[885290, 8090537, 821083, 1003600, 995785]"
57,204,"[861445, 6034857, 872137, 1040807, 995965]"
58,1770,"[989101, 1070015, 1095275, 825541, 1039156]"
59,81,"[844165, 845193, 999971, 1075470, 1056651]"
60,64,"[894236, 976998, 866227, 1003600, 928049]"
61,2238,"[999971, 849843, 1056509, 896085, 1062002]"
62,2484,"[1106301, 849843, 5591038, 927191, 834117]"
63,841,"[908531, 1133018, 983584, 1106523, 1085604]"
64,1166,"[1039156, 8160319, 6534178, 12263788, 1029743]"
65,804,"[1053690, 1092026, 844165, 1134522, 1120741]"
66,2363,"[1076875, 1070820, 834484, 1102949, 834117]"
67,1659,"[989101, 1028816, 986947, 824005, 1023958]"
68,2151,"[989101, 9526886, 928049, 913202, 1056651]"
69,101,"[6533765, 909894, 1133018, 5569845, 1106523]"
70,1397,"[1058997, 1106523, 1005186, 883404, 832678]"
71,1510,"[894236, 986912, 866227, 1005186, 1039156]"
72,1240,"[6533889, 1070820, 1028816, 824005, 6034857]"
73,113,"[1070820, 862349, 976199, 6534178, 1095275]"
74,382,"[1139830, 5569374, 5569471, 852317, 824005]"
75,18,"[6533889, 1116821, 1137688, 870515, 976199]"
76,228,"[5569471, 866227, 1095275, 1039156, 860776]"
77,1637,"[1014948, 1039156, 1126899, 1080414, 1124729]"
78,442,"[879755, 1085604, 1110843, 1057260, 1058997]"
79,1128,"[1119051, 1050131, 1106523, 849843, 995785]"
80,1137,"[885290, 860975, 1023958, 862349, 909894]"
81,1530,"[999104, 1058997, 6534166, 1022872, 1127831]"
82,1653,"[894236, 1039156, 1119051, 999971, 965267]"
83,360,"[863802, 1102949, 1107553, 1045220, 1113588]"
84,1454,"[5569374, 878996, 5584007, 5569471, 5585635]"
85,2189,"[913210, 834117, 937626, 1062002, 6534178]"
86,900,"[986912, 1095275, 861445, 1133018, 1005186]"
87,485,"[845193, 12263788, 951590, 894236, 5569471]"
88,885,"[1127624, 1037894, 925626, 951590, 935284]"
89,1030,"[1070820, 1003600, 1070015, 965842, 999104]"
90,1004,"[995242, 6534178, 1083721, 868764, 854405]"
91,1051,"[1076875, 986947, 820165, 1085604, 1127179]"
92,433,"[1089392, 1056651, 1106523, 951590, 1119051]"
93,1658,"[885290, 1006184, 883003, 909894, 1000753]"
94,1394,"[862349, 1119051, 940947, 962229, 1003600]"
95,119,"[986912, 861272, 1077555, 1102949, 908531]"
96,2264,"[1126899, 1058997, 5569374, 8011397, 860776]"
97,618,"[1037840, 986912, 1015247, 1070820, 8090521]"
98,1262,"[847789, 1001148, 5569230, 897125, 999971]"
99,20,"[1075368, 1126899, 1058997, 865330, 944836]"
100,2360,"[909714, 824005, 5568729, 970119, 883003]"
101,243,"[1126899, 6034857, 1117514, 909714, 1116821]"
102,125,"[844165, 1107553, 8090537, 8090532, 868764]"
103,768,"[1126310, 866227, 834117, 1023958, 1112238]"
104,13,"[860975, 1126899, 6534178, 1058997, 1029743]"
105,1937,"[999104, 1028816, 1070820, 976998, 962229]"
106,1151,"[6602697, 1132771, 1033615, 1122358, 985119]"
107,1694,"[1070015, 951590, 6533765, 1113588, 844165]"
108,1704,"[1404121, 1022872, 1124729, 986394, 7441391]"
109,2237,"[1058997, 908531, 1116821, 5569374, 12263788]"
110,707,"[6533889, 989101, 5569471, 1029743, 923746]"
111,2076,"[1058997, 1028816, 1137775, 1101010, 1039156]"
112,2130,"[1106523, 872137, 903325, 1071939, 983584]"
113,1406,"[919644, 5569327, 971922, 8090521, 1040807]"
114,208,"[885290, 862349, 1070820, 1014948, 1037863]"
115,2330,"[916993, 1070820, 1028816, 1056509, 1126899]"
116,1720,"[862349, 819978, 909714, 951590, 834117]"
117,239,"[1133018, 1120741, 976998, 1015247, 857849]"
118,1579,"[1005186, 951590, 1095275, 908531, 6534178]"
119,470,"[1113588, 6534178, 845193, 935284, 1005186]"
120,1803,"[1056509, 5569230, 951590, 1022254, 860776]"
121,920,"[1097001, 1092026, 1106523, 1133018, 999971]"
122,301,"[874972, 1127831, 940947, 1040807, 1023720]"
123,2050,"[1058997, 951590, 908531, 5569230, 1018740]"
124,2162,"[896085, 6534178, 1070015, 1029743, 847789]"
125,1489,"[976998, 908531, 953476, 933835, 1065593]"
126,1172,"[9420312, 1120741, 1053690, 1029743, 1075368]"
127,1287,"[862349, 861272, 885290, 1005186, 1133018]"
128,32,"[908846, 1055853, 397896, 1005186, 1105488]"
129,695,"[1070015, 1039156, 1122358, 995965, 5585727]"
